Date,Merc,Ven,Mar,Jup,Sat,Ura,Nep,Plu
30/09/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
01/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
02/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
03/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
04/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
05/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
06/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
07/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
08/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,
09/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,
10/10/2021,TRUE,,,TRUE,TRUE,TRUE,TRUE,
11/10/2021,TRUE,,,TRUE,,TRUE,TRUE,
12/10/2021,TRUE,,,TRUE,,TRUE,TRUE,
13/10/2021,TRUE,,,TRUE,,TRUE,TRUE,
14/10/2021,TRUE,,,TRUE,,TRUE,TRUE,
15/10/2021,TRUE,,,TRUE,,TRUE,TRUE,
16/10/2021,TRUE,,,TRUE,,TRUE,TRUE,
17/10/2021,TRUE,,,TRUE,,TRUE,TRUE,
18/10/2021,TRUE,,,TRUE,,TRUE,TRUE,
19/10/2021,,,,,,TRUE,TRUE,
20/10/2021,,,,,,TRUE,TRUE,
21/10/2021,,,,,,TRUE,TRUE,
22/10/2021,,,,,,TRUE,TRUE,
23/10/2021,,,,,,TRUE,TRUE,
24/10/2021,,,,,,TRUE,TRUE,
25/10/2021,,,,,,TRUE,TRUE,
26/10/2021,,,,,,TRUE,TRUE,
27/10/2021,,,,,,TRUE,TRUE,
28/10/2021,,,,,,TRUE,TRUE,
29/10/2021,,,,,,TRUE,TRUE,
30/10/2021,,,,,,TRUE,TRUE,
31/10/2021,,,,,,TRUE,TRUE,
01/11/2021,,,,,,TRUE,TRUE,
02/11/2021,,,,,,TRUE,TRUE,
03/11/2021,,,,,,TRUE,TRUE,
04/11/2021,Return,,,,,TRUE,TRUE,
05/11/2021,,,,,,TRUE,TRUE,
06/11/2021,,,,,,TRUE,TRUE,
07/11/2021,,,,,,TRUE,TRUE,
08/11/2021,,,,,,TRUE,TRUE,
09/11/2021,,,,,,TRUE,TRUE,
10/11/2021,,,,,,TRUE,TRUE,
11/11/2021,,,,,,TRUE,TRUE,
12/11/2021,,,,,,TRUE,TRUE,
13/11/2021,,,,,,TRUE,TRUE,
14/11/2021,,,,,,TRUE,TRUE,
15/11/2021,,,,,,TRUE,TRUE,
16/11/2021,,,,,,TRUE,TRUE,
17/11/2021,,,,,,TRUE,TRUE,
18/11/2021,,,,,,TRUE,TRUE,
19/11/2021,,,,,,TRUE,TRUE,
20/11/2021,,,,,,TRUE,TRUE,
21/11/2021,,,,,,TRUE,TRUE,
22/11/2021,,,,,,TRUE,TRUE,
23/11/2021,,,,,,TRUE,TRUE,
24/11/2021,,,,,,TRUE,TRUE,
25/11/2021,,,,,,TRUE,TRUE,
26/11/2021,,,,,,TRUE,TRUE,
27/11/2021,,,,,,TRUE,TRUE,
28/11/2021,,,,,,TRUE,TRUE,
29/11/2021,,,,,,TRUE,TRUE,
30/11/2021,,,,,,TRUE,TRUE,
01/12/2021,,,,,,TRUE,TRUE,
02/12/2021,,,,,,TRUE,,
03/12/2021,,,,,,TRUE,,
04/12/2021,,,,,,TRUE,,
05/12/2021,,,,,,TRUE,,
06/12/2021,,,,,,TRUE,,
07/12/2021,,,,,,TRUE,,
08/12/2021,,,,,,TRUE,,
09/12/2021,,,,,,TRUE,,
10/12/2021,,,,,,TRUE,,
11/12/2021,,,,,,TRUE,,
12/12/2021,,,,,,TRUE,,
13/12/2021,,,,,,TRUE,,
14/12/2021,,,,,,TRUE,,
15/12/2021,,,,,,TRUE,,
16/12/2021,,,,,,TRUE,,
17/12/2021,,,,,,TRUE,,
18/12/2021,,,,,,TRUE,,
19/12/2021,,TRUE,,,,TRUE,,
20/12/2021,,TRUE,,,,TRUE,,
21/12/2021,,TRUE,,,,TRUE,,
22/12/2021,,TRUE,,,,TRUE,,
23/12/2021,,TRUE,,,,TRUE,,
24/12/2021,,TRUE,,,,TRUE,,
25/12/2021,,TRUE,,,,TRUE,,
26/12/2021,,TRUE,,,,TRUE,,
27/12/2021,,TRUE,,,,TRUE,,
28/12/2021,,TRUE,,,,TRUE,,
29/12/2021,,TRUE,,,,TRUE,,
30/12/2021,,TRUE,,,,TRUE,,
31/12/2021,,TRUE,,,,TRUE,,
01/01/2022,,TRUE,,,,TRUE,,
02/01/2022,,TRUE,,,,TRUE,,
03/01/2022,,TRUE,,,,TRUE,,
04/01/2022,,TRUE,,,,TRUE,,
05/01/2022,,TRUE,,,,TRUE,,
06/01/2022,,TRUE,,,,TRUE,,
07/01/2022,,TRUE,,,,TRUE,,
08/01/2022,,TRUE,,,,TRUE,,
09/01/2022,,TRUE,,,,TRUE,,
10/01/2022,,TRUE,,Return,,TRUE,,
11/01/2022,,TRUE,,,,TRUE,,
12/01/2022,,TRUE,,,,TRUE,,
13/01/2022,,TRUE,,,,TRUE,,
14/01/2022,TRUE,TRUE,,,,TRUE,,
15/01/2022,TRUE,TRUE,,,,TRUE,,
16/01/2022,TRUE,TRUE,,,Return,TRUE,,
17/01/2022,TRUE,TRUE,,,,TRUE,,
18/01/2022,TRUE,TRUE,,,,,,
19/01/2022,TRUE,TRUE,,,,,,
20/01/2022,TRUE,TRUE,,,,,,
21/01/2022,TRUE,TRUE,,,,,,
22/01/2022,TRUE,TRUE,,,,,,
23/01/2022,TRUE,TRUE,,,,,,
24/01/2022,TRUE,TRUE,,,,,,
25/01/2022,TRUE,TRUE,,,,,,
26/01/2022,TRUE,TRUE,,,,,,
27/01/2022,TRUE,TRUE,,,,,,
28/01/2022,TRUE,TRUE,,,,,,Return
29/01/2022,TRUE,TRUE,,,,,,
30/01/2022,TRUE,,,,,,,
31/01/2022,TRUE,,,,,,,
01/02/2022,TRUE,,,,,,,
02/02/2022,TRUE,,,,,,,
03/02/2022,TRUE,,,,,,,
04/02/2022,TRUE,,,,,,,
05/02/2022,,,,,,,,
06/02/2022,,,,,,,,
07/02/2022,,,,,,,,
08/02/2022,,,,,,,,
09/02/2022,,,,,,,,
10/02/2022,,,,,,,,
11/02/2022,,,,,,,,
12/02/2022,,,,,,,,
13/02/2022,,,,,,,,
14/02/2022,,,,,,,,
15/02/2022,,,,,,,,
16/02/2022,,,,,,,,
17/02/2022,,,,,,,,
18/02/2022,,,,,,,,
19/02/2022,,,,,,,,
20/02/2022,,,,,,,,
21/02/2022,,,,,,,,
22/02/2022,,,,,,,,
23/02/2022,,,,,,,,
24/02/2022,RETURN,,,,,,,
25/02/2022,,,,,,,,
26/02/2022,,,,,,,,
27/02/2022,,,,,,,,
28/02/2022,,,,,,,,
01/03/2022,,,,,,,,
02/03/2022,,RETURN,,,,,,
03/03/2022,,,,,,,,
04/03/2022,,,,,,,,
05/03/2022,,,,,,,,
06/03/2022,,,,,,,,
07/03/2022,,,,,,,,
08/03/2022,,,,,,,,
09/03/2022,,,,,,,,
10/03/2022,,,,,,,,
11/03/2022,,,,,,,,
12/03/2022,,,,,,,,
13/03/2022,,,,,,,,
14/03/2022,,,,,,,,
15/03/2022,,,,,,,,
16/03/2022,,,,,,,,
17/03/2022,,,,,,,,
18/03/2022,,,,,,,,
19/03/2022,,,,,,,,
20/03/2022,,,,,,,,
21/03/2022,,,,,,,,
22/03/2022,,,,,,,,
23/03/2022,,,,,,,,
24/03/2022,,,,,,,,
25/03/2022,,,,,,,,
26/03/2022,,,,,,,,
27/03/2022,,,,,,,,
28/03/2022,,,,,,,,
29/03/2022,,,,,,,,
30/03/2022,,,,,,,,
31/03/2022,,,,,,,,
01/04/2022,,,,,,,,
02/04/2022,,,,,,,,
03/04/2022,,,,,,,,
04/04/2022,,,,,,,,
05/04/2022,,,,,,,,
06/04/2022,,,,,,,,
07/04/2022,,,,,,,,
08/04/2022,,,,,,,,
09/04/2022,,,,,,,,
10/04/2022,,,,,,,,
11/04/2022,,,,,,,,
12/04/2022,,,,,,,,
13/04/2022,,,,,,,,
14/04/2022,,,,,,,,
15/04/2022,,,,,,,,
16/04/2022,,,,,,,,
17/04/2022,,,,,,,,
18/04/2022,,,,,,,,
19/04/2022,,,,,,,,
20/04/2022,,,,,,,,
21/04/2022,,,,,,,,
22/04/2022,,,,,,,,
23/04/2022,,,,,,,,
24/04/2022,,,,,,,,
25/04/2022,,,,,,,,
26/04/2022,,,,,,,,
27/04/2022,,,,,,,,
28/04/2022,,,,,,,,
29/04/2022,,,,,,,,
30/04/2022,,,,,,,,TRUE
01/05/2022,,,,,,,,TRUE
02/05/2022,,,,,,,,TRUE
03/05/2022,,,,,,,,TRUE
04/05/2022,,,,,,,,TRUE
05/05/2022,,,,,,,,TRUE
06/05/2022,,,,,,,,TRUE
07/05/2022,,,,,,,,TRUE
08/05/2022,,,,,,,,TRUE
09/05/2022,,,,,,,,TRUE
10/05/2022,TRUE,,,,,,,TRUE
11/05/2022,TRUE,,,,,,,TRUE
12/05/2022,TRUE,,,,,,,TRUE
13/05/2022,TRUE,,,,,,,TRUE
14/05/2022,TRUE,,,,,,,TRUE
15/05/2022,TRUE,,,,,,,TRUE
16/05/2022,TRUE,,,,,,,TRUE
17/05/2022,TRUE,,,,,,,TRUE
18/05/2022,TRUE,,,,,,,TRUE
19/05/2022,TRUE,,,,,,,TRUE
20/05/2022,TRUE,,,,,,,TRUE
21/05/2022,TRUE,,,,,,,TRUE
22/05/2022,TRUE,,,,,,,TRUE
23/05/2022,TRUE,,,,,,,TRUE
24/05/2022,TRUE,,,,,,,TRUE
25/05/2022,TRUE,,,,,,,TRUE
