Date,Type,Planets,Angle
27/04/2024,Geo,Jup_Nep,72
30/04/2024,Geo,Mer_Jup,150
03/05/2024,Geo,Jup_Sat,60
03/05/2024,Plu,R,
05/05/2024,Helio,Jup_Jup,120
11/05/2024,Geo,Nep_Plu,90
12/05/2024,Helio,Jup_Sat,45
15/05/2024,Geo,Ura_Plu,144
16/05/2024,Geo,Mer_Sat,144
22/05/2024,Geo,Jup_Plu,150
25/05/2024,Geo,Mer_Jup,144
26/05/2024,Geo,Mer_Ura,150
26/05/2024,Helio,Sat_Plu,72
26/05/2024,Jup,Gem,
29/05/2024,Geo,Sat_Sat,180
30/05/2024,Geo,Jup_Ura,72
30/05/2024,Helio,Plu_Plu,30
31/05/2024,Helio,Ura_Nep,90
03/06/2024,Geo,Jup_Jup,135
07/06/2024,Geo,Mar_Sat,120
08/06/2024,Geo,Sat_Ura,0
08/06/2024,Geo,Jup_Plu,15
13/06/2024,Helio,Jup_Plu,150
20/06/2024,Helio,Ear_Jup,22.5
28/06/2024,Helio,Sat_Ura,7.5
30/06/2024,Sat,R,
02/07/2024,Nep,R,
03/07/2024,Geo,Sun_Jup,150
04/07/2024,Geo,Mer_Jup,135
06/07/2024,Helio,Sat_Sat,180
07/07/2024,Helio,Ear_Ura,15
12/07/2024,Helio,Jup_Ura,72
12/07/2024,Helio,Nep_Plu,22.5
13/07/2024,Geo,Jup_Jup,144
18/07/2024,Geo,Mar_Plu,72
22/07/2024,Geo,Sat_Ura,0
23/07/2024,Geo,Mar_Sat,120
23/07/2024,Jup,Hs,
28/07/2024,Geo,Ven_Plu,45
01/08/2024,Geo,Sat_Sat,180
03/08/2024,Geo,Sun_Jup,144
09/08/2024,Geo,Ven_Jup,180
14/08/2024,Geo,Mer_Sat,144
15/08/2024,Geo,Jup_Jup,150
26/08/2024,Geo,Nep_Plu,90
28/08/2024,Geo,Jup_Sat,90
29/08/2024,Geo,Jup_Sat,60
01/09/2024,Geo,Mar_Jup,150
01/09/2024,Geo,Jup_Ura,90
01/09/2024,Ura,R,
02/09/2024,Helio,Sat_Nep,22.5
02/09/2024,Plu,Cap,
06/09/2024,Helio,Mer_Jup,90
10/09/2024,Geo,Jup_Nep,72
12/09/2024,Geo,Ven_Sat,90
13/09/2024,Helio,Ear_Jup,30
18/09/2024,Mon,LEcl,
23/09/2024,Helio,Ura_Plu,144
03/10/2024,Sun,SEcl,
07/10/2024,Geo,Sat_Nep,22.5
08/10/2024,Helio,Ven_Sat,36
09/10/2024,Helio,Ven_Jup,120
09/10/2024,Jup,R,
12/10/2024,Plu,D,
21/10/2024,Helio,Ura_Nep,7.5
22/10/2024,Helio,Jup_Jup,135
03/11/2024,Geo,Nep_Nep,36
11/11/2024,Helio,Jup_Sat,90
15/11/2024,Sat,D,
16/11/2024,Geo,Jup_Ura,90
17/11/2024,Geo,Mar_Jup,150
20/11/2024,Geo,Jup_Sat,90
20/11/2024,Helio,Ear_Jup,36
20/11/2024,Plu,Aqu,
04/12/2024,Geo,Jup_Jup,150
08/12/2024,Nep,D,
11/12/2024,Geo,Ven_Jup,180
19/12/2024,Geo,Sun_Jup,144
19/12/2024,Helio,Mar_Ura,180
21/12/2024,Geo,Ven_Plu,45
24/12/2024,Geo,Sat_Nep,22.5
24/12/2024,Geo,Mer_Ura,150
29/12/2024,Geo,Mar_Plu,72
06/01/2025,Jup,Hs,
11/01/2025,Geo,Nep_Nep,36
15/01/2025,Geo,Ven_Sat,90
24/01/2025,Geo,Jup_Plu,15
26/01/2025,Geo,Jup_Sat,60
31/01/2025,Helio,Nep_Nep,36
31/01/2025,Ura,D,
02/02/2025,Helio,Jup_Jup,144
03/02/2025,Helio,Jup_Ura,90
04/02/2025,Jup,D,
05/02/2025,Geo,Mer_Sat,144
11/02/2025,Geo,Sat_Sat,180
13/02/2025,Helio,Sat_Ura,0
